Epi,dPhidE
0.1,1.1314926022530738e-26
0.10092621909870476,1.1382456267680932e-26
0.10186101701559758,1.1450731870802373e-26
0.10280447320933092,1.1519759536817063e-26
0.10375666787451857,1.1589545944389182e-26
0.10471768194855202,1.1660097741268826e-26
0.10568759711848043,1.1731421539431766e-26
0.10666649582795393,1.18035239100091e-26
0.10765446128423153,1.1876411377999979e-26
0.1086515774652538,1.1950090416761394e-26
0.10965792912678099,1.2024567442267904e-26
0.11067360180959737,1.2099848807134845e-26
0.11169868184678232,1.2175940794397917e-26
0.11273325637104868,1.2252849611042604e-26
0.1137774133221491,1.2330581381275957e-26
0.11483124145435111,1.2409142139534041e-26
0.1158948303439811,1.2488537823217613e-26
0.11696827039703853,1.2568774265148998e-26
0.11805165285688052,1.2649857185742861e-26
0.1191450698119776,1.2731792184883516e-26
0.12024861420374122,1.2814584733501503e-26
0.12136237983442408,1.2898240164842185e-26
0.12248646137509314,1.298276366541879e-26
0.12362095437367689,1.3068160265642863e-26
0.12476595526308698,1.3154434830124652e-26
0.1259215613694151,1.3241592047636268e-26
0.12708787092020585,1.3329636420730477e-26
0.12826498305280606,1.3418572255007845e-26
0.12945299782279157,1.3508403648025583e-26
0.13065201621247213,1.359913447784099e-26
0.13186214013947484,1.369076839118285e-26
0.1330834724654075,1.3783308791244358e-26
0.1343161170046016,1.3876758825091223e-26
0.13556017853293686,1.3971121370678785e-26
0.1368157627967472,1.4066399023472623e-26
0.13808297652180923,1.4162594082666797e-26
0.13936192742241424,1.425970853699488e-26
0.14065272421052372,1.4357744050128832e-26
0.14195547660501012,1.4456701945661402e-26
0.1432702953409831,1.4556583191668112e-26
0.14459729217920195,1.4657388384845518e-26
0.14593657991557565,1.4759117734222743e-26
0.14728827239075026,1.4861771044444048e-26
0.1486524844997857,1.4965347698621e-26
0.15002933220192183,1.506984664075298e-26
0.1514189325304352,1.5175266357716154e-26
0.152821403602587,1.528160486082146e-26
0.15423686462966282,1.5388859666942915e-26
0.15566543592710616,1.5497027779219376e-26
0.15710723892474504,1.560610566733215e-26
0.1585623961771137,1.57160892473641e-26
0.1600310313738701,1.582697386124526e-26
0.16151326935030905,1.5938754255792072e-26
0.16300923609797408,1.605142456134844e-26
0.16451905877536624,1.6164978270038426e-26
0.166042865718753,1.6279408213641317e-26
0.16758078645307678,1.6394706541101935e-26
0.1691329517029648,1.6510864695690343e-26
0.17069949340384075,1.6627873391827003e-26
0.1722805447131394,1.6745722591591411e-26
0.17387624002162508,1.686440148093341e-26
0.1754867149648151,1.6983898445609656e-26
0.17711210643450878,1.7104201046868595e-26
0.1787525525904235,1.7225295996910375e-26
0.18040819287193827,1.734716913414999e-26
0.18207916800994628,1.7469805398314598e-26
0.18376562003881713,1.75931888054084e-26
0.18546769230846985,1.771730242258106e-26
0.18718552949655787,1.784212834293873e-26
0.18891927762076663,1.7967647660338785e-26
0.19066908405122523,1.809384044421354e-26
0.19243509752303312,1.8220685714470142e-26
0.19421746814890253,1.8348161416517447e-26
0.19601634743191856,1.8476244396474375e-26
0.19783188827841644,1.8604910376616635e-26
0.1996642450109794,1.8734133931123257e-26
0.20151357338155576,1.886388846218676e-26
0.2033800305846981,1.8994146176555605e-26
0.2052637752709252,1.9124878062580127e-26
0.2071649675602069,1.925605386783779e-26
0.20908376905557505,1.93876420774171e-26
0.21102034285685956,1.9519609892942887e-26
0.212974853574552,1.9651923212430846e-26
0.21494746734379805,1.9784546611061752e-26
0.21693835183851842,1.99174433229705e-26
0.2189476762856621,2.005057522414927e-26
0.22097561147959022,2.018390281656734e-26
0.22302232979659375,2.031738521361446e-26
0.22508800520954617,2.0450980126978803e-26
0.2271728133026905,2.0584643855073623e-26
0.22927693128656493,2.0718331273130782e-26
0.2314005380130653,2.0851995825083414e-26
0.23354381399064789,2.0985589517362335e-26
0.23570694139967277,2.1119062914735094e-26
0.23789010410788933,2.1252365138319044e-26
0.24009348768606525,2.138544386590301e-26
0.24231727942375994,2.151824533471415e-26
0.2445616683452446,2.165071434676979e-26
0.24682684522556925,2.1782794276955156e-26
0.24911300260677885,2.19144270839695e-26
0.2514203348142797,2.204555332428539e-26
0.253749037973357,2.2176112169264791e-26
0.25609931002584585,2.2306041425577685e-26
0.2584713507469564,2.2435277559067002e-26
0.2608653617622548,2.2563755722204028e-26
0.2632815465648021,2.269140978527614e-26
0.26572011053245054,2.2818172371446342e-26
0.2681812609453015,2.2943974895821787e-26
0.27066520700332414,2.3068747608663997e-26
0.2731721598441376,2.3192419642869468e-26
0.2757023325609584,2.3314919065843116e-26
0.2782559402207124,2.3436172935881328e-26
0.2808331998823172,2.3556107363173533e-26
0.2834343306151309,2.3674647575522563e-26
0.28605955351757417,2.3791717988875065e-26
0.28870909173592363,2.3907242282742087e-26
0.2913831704832787,2.4021143480577873e-26
0.2940820170587063,2.4133344035172716e-26
0.29680586086656024,2.4243765919100052e-26
0.29955493343598133,2.4352330720243658e-26
0.3023294684405778,2.445895974241281e-26
0.3051297017182869,2.456357411103553e-26
0.3079558712914226,2.4666094883900217e-26
0.3108082173869064,2.4766443166895037e-26
0.31368698245668775,2.4864540234671913e-26
0.31659241119835224,2.496030765613823e-26
0.31952475057592117,2.505366742465476e-26
0.3224842498408441,2.5144542092791003e-26
0.3254711605531848,2.5232854911462538e-26
0.32848573660300445,2.531852997324568e-26
0.3315282342319425,2.5401492359634177e-26
0.3345989120549973,2.5481668291973078e-26
0.33769803108250906,2.5558985285771204e-26
0.34082585474234517,2.5633372308062045e-26
0.3439826489022925,2.5704759937448875e-26
0.34716868189265615,2.5773080526435263e-26
0.3503842245290674,2.58382683656086e-26
0.3536295501355042,2.590025984920828e-26
0.356904934567523,2.595899364157621e-26
0.3602106562357071,2.6014410843952074e-26
0.36354699612933195,2.6066455161041934e-26
0.3669142378402493,2.611507306675499e-26
0.3703126675869926,2.6160213968470435e-26
0.3737425742391064,2.6201830369165773e-26
0.3772042493416998,2.623987802670704e-26
0.3806979871402286,2.627431610957474e-26
0.384224084605506,2.630510734827225e-26
0.38778284145894565,2.633221818164156e-26
0.3913745601980384,2.6355618897290193e-26
0.3949995461220644,2.6375283765316684e-26
0.3986581073580441,2.639119116450866e-26
0.4023505548869292,2.6403323700178776e-26
0.40607720257003654,2.6411668312798556e-26
0.40983836717572614,2.641621637659096e-26
0.41363436840632745,2.641696378724783e-26
0.4174655289253137,2.641391103794851e-26
0.4213321743847288,2.640706328287442e-26
0.4252346334528682,2.6396430387435647e-26
0.4291732378422157,2.6382026964456196e-26
0.43314832233763995,2.636387239560108e-26
0.43716022482485045,2.634199083737077e-26
0.4412092863191189,2.6316411211039633e-26
0.44529585099426555,2.628716717597273e-26
0.4494202662119142,2.6254297085819867e-26
0.45358288255101875,2.6217843927158176e-26
0.45778405383766185,2.617785524023461e-26
0.4620241371751312,2.6134383021545134e-26
0.46630349297427315,2.6087483608082044e-26
0.4706224849841282,2.603721754317965e-26
0.4749814803228501,2.598364942399537e-26
0.4793808495089109,2.5926847730773776e-26
0.4838209664925956,2.586688463815899e-26
0.488302208687788,2.5803835808939768e-26
0.49282495700405143,2.5737780170737174e-26
0.4973895958790064,2.5668799676270068e-26
0.5019965133110081,2.5596979047962543e-26
0.5066461008921267,2.5522405507784618e-26
0.5113387538414326,2.5445168493345635e-26
0.5160748710385908,2.5365359361384522e-26
0.5208548550577662,2.5283071079922154e-26
0.5256791122018422,2.5198397910458276e-26
0.5305480525369572,2.5111435081703778e-26
0.5354620899273608,2.5022278456442503e-26
0.5404216420705916,2.4931024193207112e-26
0.5454271305329833,2.4837768404535141e-26
0.5504789807854971,2.474260681363919e-26
0.5555776222398876,2.4645634411378973e-26
0.5607234882852032,2.4546945115461185e-26
0.5659170163246244,2.444663143381439e-26
0.5711586478126432,2.4344784134090286e-26
0.5764488282925876,2.4241491921226817e-26
0.5817880074344934,2.4136841124974497e-26
0.5871766390733255,2.403091539923269e-26
0.5926151812475554,2.3923795434968047e-26
0.5981040962380941,2.3815558688393883e-26
0.6036438506075867,2.370627912597579e-26
0.609234915240071,2.3596026987698246e-26
0.6148777653810024,2.34848685698796e-26
0.6205728806776502,2.3372866028661013e-26
